FIRST,LAST,Nation
Naile,MEIGNAN,FRA
Miriam,FOGU,ITA
Vanda,MICHALKOVA,SVK
Lola,SAUTIER,FRA
Polina,KULAGINA,RUS
Kintana,ILTIS,FRA
Julia,LOTZ,AUT
Aida,TORRES ILLAMOLA,ESP
Daria,FURMANOVA,RUS
Betka,DEBEVEC,SLO
Lucija,TARKUS,SLO
Lucie,WATILLON,BEL
Erica,VELEV,BUL
Liv,EGLI,SUI
Pleun,FRANK,NED
Mona,JENEWEIN,AUT
Zoé,EGLI,SUI
Jana,RAUTH,AUT
Pia,ČULJAK,CRO
Nika,POTAPOVA,UKR
Daria,NESTERENKO,UKR
Iana,GULSTEN,RUS
Joëlle,NIEDERBERGER,SUI
Elena,MATIAK-IABLUCHKINA,RUS
Ingrid,KINDLIHAGEN,NOR
Eliška,BULENOVÁ,CZE
Michaela,SMETANOVA,CZE
Vana,PICCINI,CRO
Caterina,DAL ZOTTO,ITA
Tereza,ŠIRŮČKOVÁ,CZE
Marijke,BOOTH,GBR
Evdoxia - Aikaterini,KALLIA,GRE
Pauline,OURY,BEL
Katherine,MACDOUGALL,GBR
Malin,LOCHER,SUI
Gaia Rebecca,TOFT LAURITZEN,DEN
Nora,BOGNAR,SRB
Emma Stöver,WOLLEBAEK,NOR
Adelaide,D'ADDARIO,ITA
Federica,MABBONI,ITA
Adela,BAJEROVA,CZE
Anastasiia,TARNOVETSKA,UKR
Popova,JŪLIJA,LAT
Jessica,MC GARRY,IRL
Robin,CASEY,IRL
Yula,GOLD,ISR
Marta,KLIMASZEWSKA,POL
Anna,DE SOUZA,IRL
Emilie,PUPKO,ISR
Mariana,CARVALHO,POR
Oriane,BERTONE,FRA
Zélia,AVEZOU,FRA
Markéta,JANOŠOVÁ,CZE
Lea,KEMPF,AUT
Sara,COPAR,SLO
Louise,FLOCKHART,GBR
Emilia,WARENSKI,AUT
Lena,SCHRITTWIESER,AUT
Aleksandra,TOTKOVA,BUL
Federica,PAPETTI,ITA
Eva,PUHAR,SLO
Marilu,SOMMER,SUI
Lisa,KLEM,NED
Louna,DESHAYES,FRA
Ella,KERRY,HUN
Anja,KÖHLER,SUI
Saula,LERONDEL,FRA
Gal·la,PÉREZ PETANAS,ESP
Hana,HUMERCA,SLO
Lena,BREUSS,AUT
Sabina,VAN ESSEN,NED
Alessia,MABBONI,ITA
Gwen,MORGAN,GBR
Irina,DAZIANO,ITA
Nore,PELLENS,BEL
Milica,MARJANOVIC,SRB
Ema,SELIŠKAR,SLO
Ekaterina,VASICHKOVA,RUS
Victoria,SMIRNOVA,RUS
Edel,LEMVIK,NOR
Sunniva,ØVRE-EIDE,NOR
Lucia,MIRANDA CID,ESP
Lana,BAKIĆ,CRO
Daria,NAWÓJ,POL
Matilda,COLLINS,GBR
Eni,MALENICA,CRO
Beatrice,COLLI,ITA
Ilia,WIELAND,SUI
Anine,HJORTH ALSTRUP,DEN
Anja,SANTINI MIKULIĆ,CRO
Tilly,VASIC,GBR
Valeriia,VERETENINA,RUS
Zorka,SOMORJAI,HUN
Ksenija,DOBRZINSKA,LAT
Sofia,DURKOVA,SVK
Viktiriia,NIKITINA,UKR
Anna Ludmila,HRBACOVA,CZE
Sabina,SKOUPA,CZE
Francisca,GONÇALVES,POR
Martina,DUSANKOVA,CZE
Annika,LORENTZEN,DEN
M.ª Francisca,GASPAR,POR
Jasmin Justesen,RØNNOW,DEN
Lina,KARKLINA,LAT
Beatriz,ANACLETO,POR
Beatriz,PIMENTEL,POR
Sandra,LETTNER,AUT
Camilla,MORONI,ITA
Flavy,COHAUT,FRA
Ayala,KEREM,ISR
Lucile,SAUREL,FRA
Lucia,DÖRFFEL,GER
Daria,VERETENINA,RUS
Luiza,EMELEVA,RUS
Marie,COLOT,BEL
Eliska,ADAMOVSKA,CZE
Eva Maria,HAMMELMÜLLER,AUT
Roxana,WIENAND,GER
Tetiana,ZAIETS,UKR
Celina,SCHOIBL,AUT
Noa,SHIRAN,ISR
Holly,TOOTHILL,GBR
Mattea,PÖTZI,AUT
Maya,DREAMER,ISR
Hannah,HERMANN,SUI
Leonie,LOCHNER,GER
Yael,BAHARAD,ISR
Elisa,LAURETANO,ITA
Petra,CAMPANA,ITA
Jael,GERBER,SUI
Natalie,TUZOVA,CZE
Isabella Prehn,NYHUUS,DEN
Polina,AKSENOVA,RUS
Regine,STORÅ,NOR
Katerina,MACHARACKOVA,CZE
Mariana,ALMEIDA,POR
Paul,JENFT,FRA
Héctor,BAZAN MARTÍN,ESP
Alberto,GINÉS LÓPEZ,ESP
Lawrence,BOGESCHDORFER,AUT
Louison,BURTIN,FRA
Andrej,POLAK,SLO
Artemii,DERBYSHEV,RUS
Johannes,EGGER,ITA
Ties,VANCRAEYNEST,BEL
Geva,LEVIN,ISR
Eliot,BARNABÉ,FRA
Semen,OVCHINNIKOV,RUS
Tai,TEWKESBURY,GBR
Yoav,ARIELI,ISR
Andrea,ZAPPINI,ITA
Călin,ENACHE,ROU
Jens,DE LOUW,NED
Giorgio,TOMATIS,ITA
Alon,MARON,ISR
Luca,FERRARI,BEL
Petar,ATANASOV,BUL
Sean,O CONNOR,IRL
Jakub,ZIETEK,POL
Dimitar,RUSEV,BUL
Marcus,MC DOWELL,IRL
Artur,BELOUSOV,RUS
Vladimir,ZAKHAROV,RUS
Fabrice,ROHNER,SUI
Matey,MITSEV,BUL
Albert,MUSIL,CZE
Lukas,DOLECEK,CZE
Michel,ERNI,SUI
Jasper,VAN MALDEREN,BEL
Vivian,FUMEAUX,SUI
Leto,CAVÉ,NED
Alexander,HARLACHER,AUT
Hristo,OURUMOV,BUL
Jakub,FABRIC,SVK
Paul,BRAND,NED
Ishay,HALFON,ISR
Filip,KURTOVIĆ,CRO
Emanuele,QUAGLIA,ITA
Örjan,RÖDLAND VAAGE,NOR
Tommy,MYLES,IRL
Ilmari,PIIROINEN,FIN
Martin,MIKULEC,CZE
Afonso Mano,CRISANTO,POR
Daniel Filipe,AUGUSTO,POR
Oskars,STANKEVICS,LAT
Mikael,SUIHKONEN,FIN
Artjoms,ANDREJEVS,LAT
João,ALMEIDA,POR
Toby,ROBERTS,GBR
Edvards,GRUZITIS,LAT
Alessandro,MELE,ITA
Thorben Perry,BLOEM,GER
Gergő,VÁLYI,HUN
Lluc,MACIÀ LLOBET,ESP
Illia,MANIAKIN,UKR
Vladislav,SHUNEVICH,RUS
Louis,GUIGNARD,SUI
Robin,KIRCHMAIR,AUT
Etienne,ABRIAT,FRA
Slav,KIROV,BUL
Amaury,CABEZAS,FRA
Nimród Sebestyén,TUSNÁDY,HUN
Tim,KOROSEC,SLO
Timotej,ROMŠAK,SLO
Attila Zsombor,RADICS,HUN
David,ZINSLER,AUT
CREP,LOVRO,SLO
Bence,FUKSZ,HUN
Paul,CRISTEA,ROU
Anselmo,BAZZANI,ITA
Jan,GURBA,POL
Luca,BOLDRINI,ITA
Jaka,JAKI,SLO
Ofir,RABINOVISH,ISR
Roko,ČAČIJA,CRO
Iurii,KOVALEV,RUS
Ivan,BONEV,BUL
Shaked,MANDLER,ISR
Filippos,LAVRENTAKIS-RIGAKIS,GRE
Maksym,VNUKOV,UKR
